target,condition,family,layer,sample_size,original_feature_count,feature_count,n_sampling_repeats,n_projection_seeds,n_runs,validation_accuracy_mean,validation_accuracy_std,validation_macro_f1_mean,validation_macro_f1_std,test_accuracy_mean,test_accuracy_std,test_macro_f1_mean,test_macro_f1_std,test_target_f1_mean,test_target_f1_std,selected_c_mode,selected_c_mean
footwear,random_fc,random,fc,20,128,32,10,5,50,0.9552700000000001,0.026224348010416364,0.9448319469933744,0.03401851607338484,0.9534860000000001,0.026845194986767202,0.9425193036316101,0.03518647933704722,0.9174633225934226,0.052390435703777785,1.0,0.91
footwear,random_fc,random,fc,30,128,32,10,5,50,0.9673499999999998,0.01585786677884231,0.960438658630662,0.019963339197573943,0.965942,0.015456365045125042,0.9587211496007104,0.019632955890842914,0.9414785213312225,0.028723539343410754,1.0,0.946
footwear,random_fc,random,fc,50,128,32,10,5,50,0.97807,0.00946206712540735,0.9736737655234627,0.011532990665022697,0.9772580000000002,0.009288946470435296,0.9727027892919338,0.011312933948311432,0.9615550378374147,0.016103727901594332,1.0,0.856
footwear,random_fc,random,fc,80,128,32,10,5,50,0.98218,0.007768828346510883,0.9786745664663576,0.009479167213180071,0.9813980000000001,0.008182646894745104,0.9777376113038159,0.009966025363203125,0.9687130006371382,0.014185711753822489,1.0,0.6579999999999999
footwear,random_fc,random,fc,110,128,32,10,5,50,0.9850000000000001,0.005016299961736988,0.982113205084392,0.006003282221018088,0.9839979999999998,0.005943217365456288,0.9809290588194286,0.0070665124127071224,0.9732796949441499,0.009885306616924749,1.0,0.6940000000000001
footwear,random_fc,random,fc,150,128,32,10,5,50,0.9864199999999999,0.0036913578056021043,0.9838359952018491,0.004416769422140116,0.985402,0.004292826954968721,0.982620719122918,0.005118164654890151,0.9756688157114661,0.007174633706429776,1.0,0.6759999999999999
footwear,random_fc,random,fc,200,128,32,10,5,50,0.9869600000000002,0.0037250393779592397,0.9844821085845098,0.004448875883131118,0.986184,0.004057714245478505,0.9835600876559549,0.004835075792249211,0.9769926192989463,0.006774632080522429,1.0,0.748
footwear,trained_conv1,trained,conv1,10,3136,32,10,5,50,0.91822,0.03862921068786349,0.8970887274683799,0.05597511340185348,0.918356,0.0375102661321687,0.8972430497543165,0.05437291949206484,0.8510198938471458,0.08523265770569846,1.0,0.91
footwear,trained_conv1,trained,conv1,20,3136,32,10,5,50,0.94128,0.029295496624037284,0.9285615918667232,0.03837445755929976,0.9398299999999999,0.028153980760330516,0.926735542378174,0.03712845023247906,0.8958903991440104,0.055575904129929445,1.0,0.9279999999999999
footwear,trained_conv1,trained,conv1,30,3136,32,10,5,50,0.95394,0.01885920984342577,0.9450139070176776,0.022935276066890067,0.9522179999999999,0.018356088796864314,0.9428901793451914,0.02257725815632426,0.9198554305801495,0.03241072219753322,1.0,0.856
