target,repeat,sampling_seed,projection_seed,sample_size,examples_per_original_class,training_class_counts,condition,family,layer,original_feature_count,feature_count,selected_c,validation_accuracy,validation_macro_f1,n_test,test_accuracy,test_macro_f1,test_target_f1,true_negative,false_positive,false_negative,true_positive
footwear,1,42,0,30,3,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3]",trained_conv2,trained,conv2,1568,32,1.0,0.9195,0.9072439320391845,10000,0.9211,0.9087336242066375,0.8751384712771008,6446,554,235,2765
footwear,1,42,0,30,3,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3]",trained_fc,trained,fc,128,32,0.1,0.996,0.9952380952380953,10000,0.9946,0.9935628306589119,0.9909789508853992,6980,20,34,2966
tops,1,42,0,30,3,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3]",pixels,pixels,pixels,784,32,1.0,0.84,0.8349451966473243,10000,0.8392,0.8340477741781557,0.8048069919883467,5077,923,685,3315
tops,1,42,0,30,3,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3]",random_conv1,random,conv1,3136,32,1.0,0.8425,0.8380645474713779,10000,0.8499,0.8455990678504044,0.8198295522746369,5084,916,585,3415
tops,1,42,0,30,3,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3]",random_conv2,random,conv2,1568,32,1.0,0.8125,0.8097836631557803,10000,0.8195,0.8166581555759664,0.7938320959451742,4720,1280,525,3475
tops,1,42,0,30,3,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3]",random_fc,random,fc,128,32,1.0,0.871,0.8677399213206323,10000,0.8696,0.8663730206964826,0.8456073881127161,5125,875,429,3571
tops,1,42,0,30,3,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3]",trained_conv1,trained,conv1,3136,32,0.1,0.853,0.847554494083144,10000,0.8544,0.8491823112396468,0.8211302211302212,5202,798,658,3342
tops,1,42,0,30,3,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3]",trained_conv2,trained,conv2,1568,32,1.0,0.913,0.9102514506769825,10000,0.9109,0.9078993373868995,0.8912751677852349,5457,543,348,3652
tops,1,42,0,30,3,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3]",trained_fc,trained,fc,128,32,0.1,0.9585,0.9572272431541042,10000,0.9549,0.9533390797653326,0.9448047974544119,5689,311,140,3860
footwear,1,42,0,50,5,"[5, 5, 5, 5, 5, 5, 5, 5, 5, 5]",pixels,pixels,pixels,784,32,0.1,0.9415,0.9270955132896468,10000,0.9448,0.9321347076874655,0.9028169014084507,6884,116,436,2564
footwear,1,42,0,50,5,"[5, 5, 5, 5, 5, 5, 5, 5, 5, 5]",random_conv1,random,conv1,3136,32,1.0,0.978,0.9735805235619699,10000,0.9783,0.9738867824026132,0.9631516386483274,6947,53,164,2836
footwear,1,42,0,50,5,"[5, 5, 5, 5, 5, 5, 5, 5, 5, 5]",random_conv2,random,conv2,1568,32,1.0,0.97,0.9649368863955119,10000,0.9706,0.9654588365906434,0.9521328557473135,6782,218,76,2924
footwear,1,42,0,50,5,"[5, 5, 5, 5, 5, 5, 5, 5, 5, 5]",random_fc,random,fc,128,32,1.0,0.971,0.964824565553061,10000,0.9759,0.9708242190796557,0.9586550008577801,6965,35,206,2794
footwear,1,42,0,50,5,"[5, 5, 5, 5, 5, 5, 5, 5, 5, 5]",trained_conv1,trained,conv1,3136,32,1.0,0.975,0.9698888053805091,10000,0.9745,0.9692713236678592,0.9565957446808511,6935,65,190,2810
footwear,1,42,0,50,5,"[5, 5, 5, 5, 5, 5, 5, 5, 5, 5]",trained_conv2,trained,conv2,1568,32,1.0,0.933,0.9223061393224863,10000,0.9336,0.9224761455363726,0.8931101094655506,6562,438,226,2774
footwear,1,42,0,50,5,"[5, 5, 5, 5, 5, 5, 5, 5, 5, 5]",trained_fc,trained,fc,128,32,1.0,0.999,0.9988106551030627,10000,0.9977,0.9972611219318626,0.9961647490411872,6990,10,13,2987
tops,1,42,0,50,5,"[5, 5, 5, 5, 5, 5, 5, 5, 5, 5]",pixels,pixels,pixels,784,32,0.1,0.867,0.8604910714285714,10000,0.865,0.8583288470801576,0.8275862068965517,5410,590,760,3240
tops,1,42,0,50,5,"[5, 5, 5, 5, 5, 5, 5, 5, 5, 5]",random_conv1,random,conv1,3136,32,1.0,0.867,0.8619094291979533,10000,0.8658,0.860883050538223,0.8347290640394088,5269,731,611,3389
tops,1,42,0,50,5,"[5, 5, 5, 5, 5, 5, 5, 5, 5, 5]",random_conv2,random,conv2,1568,32,1.0,0.8995,0.8956325330529431,10000,0.9031,0.8993951656044343,0.8800890978839253,5475,525,444,3556
tops,1,42,0,50,5,"[5, 5, 5, 5, 5, 5, 5, 5, 5, 5]",random_fc,random,fc,128,32,0.1,0.906,0.9024021529669746,10000,0.9031,0.8996313799290043,0.8809728534578062,5445,555,414,3586
tops,1,42,0,50,5,"[5, 5, 5, 5, 5, 5, 5, 5, 5, 5]",trained_conv1,trained,conv1,3136,32,0.1,0.8725,0.8674332662961557,10000,0.8763,0.8719212421456892,0.8482394798184272,5306,694,543,3457
tops,1,42,0,50,5,"[5, 5, 5, 5, 5, 5, 5, 5, 5, 5]",trained_conv2,trained,conv2,1568,32,0.1,0.9075,0.9037454718097802,10000,0.909,0.9052004294191361,0.8862215553888472,5546,454,456,3544
tops,1,42,0,50,5,"[5, 5, 5, 5, 5, 5, 5, 5, 5, 5]",trained_fc,trained,fc,128,32,0.01,0.9595,0.9576593569815408,10000,0.958,0.956062349618161,0.9468354430379747,5840,160,260,3740
footwear,1,42,0,80,8,"[8, 8, 8, 8, 8, 8, 8, 8, 8, 8]",pixels,pixels,pixels,784,32,0.1,0.9365,0.920688226354553,10000,0.9384,0.9236444257753413,0.8900785153461813,6890,110,506,2494
footwear,1,42,0,80,8,"[8, 8, 8, 8, 8, 8, 8, 8, 8, 8]",random_conv1,random,conv1,3136,32,1.0,0.982,0.9784263457465743,10000,0.9831,0.97968305542418,0.9713510764536362,6966,34,135,2865
footwear,1,42,0,80,8,"[8, 8, 8, 8, 8, 8, 8, 8, 8, 8]",random_conv2,random,conv2,1568,32,1.0,0.9895,0.9874700736133175,10000,0.9885,0.9862767472907763,0.9807531380753138,6955,45,70,2930
