source_seed,repeat,sampling_seed,projection_seed,task,task_category,sample_size,condition,family,layer,training_class_counts,original_feature_count,feature_count,selected_c,validation_accuracy,validation_macro_f1,n_test,test_class_counts,test_accuracy,test_macro_f1,test_balanced_accuracy,test_per_class_f1,test_confusion_matrix
42,7,48,0,footwear_three_way,within_footwear,200,coarse_fc,coarse,fc,"[66, 67, 67]",128,32,1.0,0.8466666666666667,0.8485296002539441,3000,"[1000, 1000, 1000]",0.843,0.8440681827559681,0.843,"[0.8275109170305677, 0.8168383340797134, 0.8878552971576228]","[[758, 200, 42], [54, 912, 34], [20, 121, 859]]"
42,7,48,1,footwear_three_way,within_footwear,200,constant,constant,constant,"[66, 67, 67]",0,0,,,,3000,"[1000, 1000, 1000]",0.3333333333333333,0.16666666666666666,0.3333333333333333,"[0.0, 0.5, 0.0]","[[0, 1000, 0], [0, 1000, 0], [0, 1000, 0]]"
42,7,48,1,footwear_three_way,within_footwear,200,pixels,pixels,pixels,"[66, 67, 67]",784,32,0.01,0.8366666666666667,0.8369735544379169,3000,"[1000, 1000, 1000]",0.812,0.8116175699509033,0.8119999999999999,"[0.7693121693121693, 0.7916666666666666, 0.8738738738738738]","[[727, 193, 80], [119, 836, 45], [44, 83, 873]]"
42,7,48,1,footwear_three_way,within_footwear,200,random_conv1,random,conv1,"[66, 67, 67]",3136,32,1.0,0.8316666666666667,0.8333094078906226,3000,"[1000, 1000, 1000]",0.8243333333333334,0.824759514295747,0.8243333333333333,"[0.8134126554894537, 0.8038674033149171, 0.8569984840828702]","[[752, 169, 79], [75, 873, 52], [22, 130, 848]]"
42,7,48,1,footwear_three_way,within_footwear,200,fine_conv1,fine,conv1,"[66, 67, 67]",3136,32,0.1,0.85,0.8514066740752124,3000,"[1000, 1000, 1000]",0.8286666666666667,0.8292524361109191,0.8286666666666666,"[0.8149732620320855, 0.8107861060329068, 0.8619979402677652]","[[762, 168, 70], [78, 887, 35], [30, 133, 837]]"
42,7,48,1,footwear_three_way,within_footwear,200,coarse_conv1,coarse,conv1,"[66, 67, 67]",3136,32,0.1,0.86,0.86107338794057,3000,"[1000, 1000, 1000]",0.8413333333333334,0.841919471730962,0.8413333333333334,"[0.8317358892438764, 0.8192771084337349, 0.8747454175152749]","[[781, 157, 62], [73, 884, 43], [24, 117, 859]]"
42,7,48,1,footwear_three_way,within_footwear,200,random_conv2,random,conv2,"[66, 67, 67]",1568,32,1.0,0.9,0.9001125395398066,3000,"[1000, 1000, 1000]",0.8653333333333333,0.8654794225590683,0.8653333333333334,"[0.8586666666666667, 0.8524436090225563, 0.885327991987982]","[[805, 129, 66], [46, 907, 47], [24, 92, 884]]"
42,7,48,1,footwear_three_way,within_footwear,200,fine_conv2,fine,conv2,"[66, 67, 67]",1568,32,0.1,0.895,0.8957344333060849,3000,"[1000, 1000, 1000]",0.889,0.8890534225433994,0.8889999999999999,"[0.8815931108719053, 0.8827331486611265, 0.902834008097166]","[[819, 116, 65], [25, 956, 19], [14, 94, 892]]"
42,7,48,1,footwear_three_way,within_footwear,200,coarse_conv2,coarse,conv2,"[66, 67, 67]",1568,32,1.0,0.8933333333333333,0.8940199411377264,3000,"[1000, 1000, 1000]",0.8653333333333333,0.8658852406589671,0.8653333333333334,"[0.8786610878661087, 0.8493408662900188, 0.869653767820774]","[[840, 99, 61], [49, 902, 49], [23, 123, 854]]"
42,7,48,1,footwear_three_way,within_footwear,200,random_fc,random,fc,"[66, 67, 67]",128,32,1.0,0.8833333333333333,0.884343354955062,3000,"[1000, 1000, 1000]",0.8596666666666667,0.8603141711507799,0.8596666666666667,"[0.862051015096304, 0.8388914983560357, 0.88]","[[828, 117, 55], [70, 893, 37], [23, 119, 858]]"
42,7,48,1,footwear_three_way,within_footwear,200,fine_fc,fine,fc,"[66, 67, 67]",128,32,0.1,0.9616666666666667,0.9619064178288261,3000,"[1000, 1000, 1000]",0.961,0.9611792266376898,0.961,"[0.9751142712036567, 0.9502174963750604, 0.9582059123343527]","[[960, 30, 10], [5, 983, 12], [4, 56, 940]]"
42,7,48,1,footwear_three_way,within_footwear,200,coarse_fc,coarse,fc,"[66, 67, 67]",128,32,1.0,0.8266666666666667,0.8278788517054467,3000,"[1000, 1000, 1000]",0.8356666666666667,0.8369501389832967,0.8356666666666667,"[0.8237861429350791, 0.8092691622103387, 0.8777951118044722]","[[755, 203, 42], [55, 908, 37], [23, 133, 844]]"
42,7,48,2,footwear_three_way,within_footwear,200,constant,constant,constant,"[66, 67, 67]",0,0,,,,3000,"[1000, 1000, 1000]",0.3333333333333333,0.16666666666666666,0.3333333333333333,"[0.0, 0.5, 0.0]","[[0, 1000, 0], [0, 1000, 0], [0, 1000, 0]]"
42,7,48,2,footwear_three_way,within_footwear,200,pixels,pixels,pixels,"[66, 67, 67]",784,32,0.1,0.82,0.8211486418030592,3000,"[1000, 1000, 1000]",0.8263333333333334,0.827194149293109,0.8263333333333334,"[0.8112407211028632, 0.8005527406725012, 0.8697889861039629]","[[765, 174, 61], [94, 869, 37], [27, 128, 845]]"
42,7,48,2,footwear_three_way,within_footwear,200,random_conv1,random,conv1,"[66, 67, 67]",3136,32,1.0,0.8416666666666667,0.8415047002536046,3000,"[1000, 1000, 1000]",0.821,0.8206994953353767,0.8210000000000001,"[0.800650054171181, 0.8158379373848987, 0.8456104944500504]","[[739, 158, 103], [73, 886, 41], [34, 128, 838]]"
42,7,48,2,footwear_three_way,within_footwear,200,fine_conv1,fine,conv1,"[66, 67, 67]",3136,32,0.1,0.8166666666666667,0.8179441738844225,3000,"[1000, 1000, 1000]",0.8186666666666667,0.8192966543839787,0.8186666666666667,"[0.7857534246575343, 0.7980470483799379, 0.8740894901144641]","[[717, 226, 57], [76, 899, 25], [32, 128, 840]]"
42,7,48,2,footwear_three_way,within_footwear,200,coarse_conv1,coarse,conv1,"[66, 67, 67]",3136,32,1.0,0.8366666666666667,0.8366112661959374,3000,"[1000, 1000, 1000]",0.8333333333333334,0.833505954225661,0.8333333333333334,"[0.8164591229020033, 0.8207934336525308, 0.863265306122449]","[[754, 166, 80], [66, 900, 34], [27, 127, 846]]"
42,7,48,2,footwear_three_way,within_footwear,200,random_conv2,random,conv2,"[66, 67, 67]",1568,32,0.1,0.865,0.8657304263897602,3000,"[1000, 1000, 1000]",0.8466666666666667,0.8471883090542166,0.8466666666666667,"[0.8240437158469945, 0.8201634877384196, 0.8973577235772358]","[[754, 198, 48], [60, 903, 37], [16, 101, 883]]"
