task,task_category,comparison,family,layer,sample_size,original_feature_count,feature_count,source_seed,n_sampling_repeats,n_projection_seeds,n_pairs,test_accuracy_mean,test_accuracy_std,test_macro_f1_mean,test_macro_f1_std,test_balanced_accuracy_mean,test_balanced_accuracy_std
footwear_three_way,within_footwear,coarse_minus_random,coarse,conv1,10,3136,32,42,10,5,50,0.0024333333333333364,0.025048728021801903,0.0024382869071892265,0.02651856299949266,0.002433333333333323,0.02504872802180189
footwear_three_way,within_footwear,coarse_minus_random,coarse,conv1,20,3136,32,42,10,5,50,-7.333333333333414e-05,0.019436073481569068,-0.00035237244183704774,0.02077211771827903,-7.333333333334747e-05,0.019436073481569074
footwear_three_way,within_footwear,coarse_minus_random,coarse,conv1,30,3136,32,42,10,5,50,0.0006933333333333414,0.015496007824707675,0.0007235978377423491,0.016475888824778937,0.000693333333333348,0.015496007824707678
footwear_three_way,within_footwear,coarse_minus_random,coarse,conv1,50,3136,32,42,10,5,50,0.001539999999999999,0.010836632673932926,0.0016274626962621407,0.011387906939657974,0.0015399999999999969,0.010836632673932907
footwear_three_way,within_footwear,coarse_minus_random,coarse,conv1,80,3136,32,42,10,5,50,-0.00020666666666667056,0.01011765032369484,-0.000173371867776837,0.010394368817964099,-0.00020666666666666834,0.010117650323694835
footwear_three_way,within_footwear,coarse_minus_random,coarse,conv1,110,3136,32,42,10,5,50,0.0017800000000000038,0.011540249980590216,0.0018332496510355689,0.011803205683523318,0.0017800000000000105,0.011540249980590181
footwear_three_way,within_footwear,coarse_minus_random,coarse,conv1,150,3136,32,42,10,5,50,0.002326666666666659,0.0109859712645651,0.0023481988592468682,0.01121796107400647,0.00232666666666667,0.010985971264565091
footwear_three_way,within_footwear,coarse_minus_random,coarse,conv1,200,3136,32,42,10,5,50,0.001193333333333324,0.010100198691384349,0.0012360710734568192,0.010278709325092747,0.0011933333333333574,0.010100198691384347
footwear_three_way,within_footwear,coarse_minus_random,coarse,conv2,10,1568,32,42,10,5,50,0.011133333333333321,0.05230600699104204,0.012514851138874367,0.05407529001512349,0.011133333333333354,0.052306006991042056
footwear_three_way,within_footwear,coarse_minus_random,coarse,conv2,20,1568,32,42,10,5,50,0.014653333333333319,0.025608686168099998,0.014480865069389863,0.026461215875032543,0.014653333333333326,0.025608686168099994
footwear_three_way,within_footwear,coarse_minus_random,coarse,conv2,30,1568,32,42,10,5,50,0.010339999999999995,0.032110035447150076,0.010174525276785912,0.033455006154833516,0.010340000000000009,0.03211003544715008
footwear_three_way,within_footwear,coarse_minus_random,coarse,conv2,50,1568,32,42,10,5,50,0.010326666666666668,0.020537172757042487,0.010634723459328477,0.02129700850159215,0.01032666666666666,0.020537172757042477
footwear_three_way,within_footwear,coarse_minus_random,coarse,conv2,80,1568,32,42,10,5,50,0.010613333333333329,0.018368779586354217,0.010827025257450282,0.018840502279584604,0.01061333333333334,0.018368779586354227
footwear_three_way,within_footwear,coarse_minus_random,coarse,conv2,110,1568,32,42,10,5,50,0.012586666666666675,0.015719271936196072,0.012807390260345268,0.016045648794727592,0.012586666666666657,0.01571927193619608
footwear_three_way,within_footwear,coarse_minus_random,coarse,conv2,150,1568,32,42,10,5,50,0.008946666666666664,0.012980424822455872,0.009080016899803154,0.013217159251243293,0.008946666666666684,0.012980424822455882
footwear_three_way,within_footwear,coarse_minus_random,coarse,conv2,200,1568,32,42,10,5,50,0.009080000000000008,0.011275876765262953,0.009229520644805023,0.011359698806753882,0.009080000000000001,0.011275876765262932
