task,task_category,condition,family,layer,sample_size,original_feature_count,feature_count,source_seed,n_sampling_repeats,n_projection_seeds,n_runs,test_accuracy_mean,test_accuracy_std,test_macro_f1_mean,test_macro_f1_std,test_balanced_accuracy_mean,test_balanced_accuracy_std,selected_c_mode
ankle_boot_vs_non_footwear,cross_pooled,coarse_conv2,coarse,conv2,10,1568,32,42,10,5,50,0.9683624999999999,0.03674016988131877,0.9387281598710001,0.05669626178714098,0.9712328571428572,0.025183366724887413,1.0
ankle_boot_vs_non_footwear,cross_pooled,coarse_conv2,coarse,conv2,20,1568,32,42,10,5,50,0.9823475,0.012983513142459097,0.9625985457934864,0.02606943264457006,0.9850614285714285,0.009258842144182801,1.0
ankle_boot_vs_non_footwear,cross_pooled,coarse_conv2,coarse,conv2,30,1568,32,42,10,5,50,0.9849750000000002,0.012583800730158063,0.9680382109478548,0.02547602027336137,0.9875057142857143,0.008918295427721042,1.0
ankle_boot_vs_non_footwear,cross_pooled,coarse_conv2,coarse,conv2,50,1568,32,42,10,5,50,0.9887825000000001,0.012870276278293012,0.9761553679223712,0.02562792186658337,0.9906842857142858,0.008639755485186779,1.0
ankle_boot_vs_non_footwear,cross_pooled,coarse_conv2,coarse,conv2,80,1568,32,42,10,5,50,0.990815,0.012179965358015146,0.9804676293650333,0.024031742150898795,0.9926085714285713,0.007449723753714897,1.0
ankle_boot_vs_non_footwear,cross_pooled,coarse_conv2,coarse,conv2,110,1568,32,42,10,5,50,0.9946650000000001,0.00442096408822644,0.9881010225363691,0.009601526457695716,0.9949371428571431,0.0037524569210860294,1.0
ankle_boot_vs_non_footwear,cross_pooled,coarse_conv2,coarse,conv2,150,1568,32,42,10,5,50,0.9951499999999999,0.004111721050849634,0.9891621194325075,0.008957763298869383,0.9953085714285715,0.0034964860089327144,1.0
ankle_boot_vs_non_footwear,cross_pooled,coarse_conv2,coarse,conv2,200,1568,32,42,10,5,50,0.9961749999999999,0.002539735242508721,0.9913793952050266,0.005646780188168744,0.9962628571428571,0.0027986148177195067,1.0
ankle_boot_vs_non_footwear,cross_pooled,random_fc,random,fc,10,128,32,42,10,5,50,0.9672974999999999,0.0234589563691263,0.9344852446692826,0.04313512432631717,0.9735814285714285,0.01683592459399277,1.0
ankle_boot_vs_non_footwear,cross_pooled,random_fc,random,fc,20,128,32,42,10,5,50,0.9829325,0.015252241596712587,0.9641894777986961,0.028753360303675087,0.9860557142857143,0.00869595273211627,1.0
ankle_boot_vs_non_footwear,cross_pooled,random_fc,random,fc,30,128,32,42,10,5,50,0.9869125000000001,0.01060378283723237,0.9718644463995296,0.02114630549325482,0.9888442857142857,0.006542204157263713,1.0
ankle_boot_vs_non_footwear,cross_pooled,random_fc,random,fc,50,128,32,42,10,5,50,0.9884549999999999,0.009019492779530349,0.9749662789600622,0.0184549146123246,0.9897942857142857,0.005655209199229246,1.0
ankle_boot_vs_non_footwear,cross_pooled,random_fc,random,fc,80,128,32,42,10,5,50,0.9907449999999999,0.006918575263265514,0.9797126929296076,0.014328821886563948,0.992097142857143,0.004071384072182773,1.0
ankle_boot_vs_non_footwear,cross_pooled,random_fc,random,fc,110,128,32,42,10,5,50,0.9923124999999999,0.004772118881843679,0.9829473113757841,0.010103805824665905,0.9929071428571429,0.0030921650664220497,1.0
ankle_boot_vs_non_footwear,cross_pooled,random_fc,random,fc,150,128,32,42,10,5,50,0.99328,0.004266890207260592,0.9850313418625538,0.009132496434090975,0.9934000000000001,0.0029578814868858987,1.0
ankle_boot_vs_non_footwear,cross_pooled,random_fc,random,fc,200,128,32,42,10,5,50,0.9945625000000001,0.0033079845041341766,0.9878205319505717,0.007167277220712226,0.9947585714285714,0.002524882008038986,1.0
ankle_boot_vs_non_footwear,cross_pooled,fine_fc,fine,fc,10,128,32,42,10,5,50,0.9817,0.021880706252825777,0.9629210162104153,0.040514866106120095,0.9832514285714287,0.013181637550513946,1.0
ankle_boot_vs_non_footwear,cross_pooled,fine_fc,fine,fc,20,128,32,42,10,5,50,0.9909574999999999,0.010665263147724213,0.980558971273039,0.02178365513547415,0.9918671428571427,0.007305110664179569,1.0
ankle_boot_vs_non_footwear,cross_pooled,fine_fc,fine,fc,30,128,32,42,10,5,50,0.9938125000000001,0.0076275819482684686,0.9864830873676834,0.01589333601072024,0.9940899999999999,0.004994724622286805,1.0
ankle_boot_vs_non_footwear,cross_pooled,fine_fc,fine,fc,50,128,32,42,10,5,50,0.99657,0.006124305458330663,0.9924706713564521,0.01266676432415406,0.9964114285714287,0.004029089353221543,1.0
ankle_boot_vs_non_footwear,cross_pooled,fine_fc,fine,fc,80,128,32,42,10,5,50,0.9981750000000001,0.0012077027442079248,0.9958551921377569,0.0027169713524734904,0.99768,0.001391519504215531,1.0
