task,task_category,family,layer,examples_per_class,n_probe_train,n_seeds,test_accuracy_mean,test_accuracy_std,test_macro_f1_mean,test_macro_f1_std,test_balanced_accuracy_mean,test_balanced_accuracy_std
coat_vs_shirt,within_tops,coarse,fc,100,200,1,0.7785,0.0,0.7784932994223075,0.0,0.7785,0.0
coat_vs_shirt,within_tops,constant,constant,5,10,1,0.5,0.0,0.3333333333333333,0.0,0.5,0.0
coat_vs_shirt,within_tops,constant,constant,10,20,1,0.5,0.0,0.3333333333333333,0.0,0.5,0.0
coat_vs_shirt,within_tops,constant,constant,30,60,1,0.5,0.0,0.3333333333333333,0.0,0.5,0.0
coat_vs_shirt,within_tops,constant,constant,100,200,1,0.5,0.0,0.3333333333333333,0.0,0.5,0.0
coat_vs_shirt,within_tops,fine,conv1,5,10,1,0.708,0.0,0.7073256783629482,0.0,0.708,0.0
coat_vs_shirt,within_tops,fine,conv1,10,20,1,0.7245,0.0,0.7244635603058505,0.0,0.7244999999999999,0.0
coat_vs_shirt,within_tops,fine,conv1,30,60,1,0.7735,0.0,0.7734455702982641,0.0,0.7735000000000001,0.0
coat_vs_shirt,within_tops,fine,conv1,100,200,1,0.8445,0.0,0.8444912526329607,0.0,0.8445,0.0
coat_vs_shirt,within_tops,fine,conv2,5,10,1,0.703,0.0,0.702842803843233,0.0,0.7030000000000001,0.0
coat_vs_shirt,within_tops,fine,conv2,10,20,1,0.7325,0.0,0.7321624577373635,0.0,0.7324999999999999,0.0
coat_vs_shirt,within_tops,fine,conv2,30,60,1,0.768,0.0,0.7679329326175265,0.0,0.768,0.0
coat_vs_shirt,within_tops,fine,conv2,100,200,1,0.859,0.0,0.8589829369353692,0.0,0.859,0.0
coat_vs_shirt,within_tops,fine,fc,5,10,1,0.817,0.0,0.8165773943165052,0.0,0.817,0.0
coat_vs_shirt,within_tops,fine,fc,10,20,1,0.884,0.0,0.8837646233623087,0.0,0.884,0.0
coat_vs_shirt,within_tops,fine,fc,30,60,1,0.901,0.0,0.9009964358716913,0.0,0.901,0.0
coat_vs_shirt,within_tops,fine,fc,100,200,1,0.9085,0.0,0.9084948528354719,0.0,0.9085000000000001,0.0
coat_vs_shirt,within_tops,pixels,pixels,5,10,1,0.6495,0.0,0.6494262918778673,0.0,0.6495,0.0
coat_vs_shirt,within_tops,pixels,pixels,10,20,1,0.7075,0.0,0.7074911516073361,0.0,0.7075,0.0
coat_vs_shirt,within_tops,pixels,pixels,30,60,1,0.7865,0.0,0.7863610812931108,0.0,0.7865,0.0
coat_vs_shirt,within_tops,pixels,pixels,100,200,1,0.8215,0.0,0.8214674624450307,0.0,0.8215,0.0
coat_vs_shirt,within_tops,random,conv1,5,10,1,0.738,0.0,0.7378844070234973,0.0,0.738,0.0
coat_vs_shirt,within_tops,random,conv1,10,20,1,0.7145,0.0,0.7143142328298977,0.0,0.7144999999999999,0.0
coat_vs_shirt,within_tops,random,conv1,30,60,1,0.7755,0.0,0.7754703059479615,0.0,0.7755000000000001,0.0
coat_vs_shirt,within_tops,random,conv1,100,200,1,0.8315,0.0,0.8314979358497141,0.0,0.8314999999999999,0.0
coat_vs_shirt,within_tops,random,conv2,5,10,1,0.7055,0.0,0.7051071289725737,0.0,0.7055,0.0
coat_vs_shirt,within_tops,random,conv2,10,20,1,0.696,0.0,0.6956055047341354,0.0,0.696,0.0
coat_vs_shirt,within_tops,random,conv2,30,60,1,0.7525,0.0,0.751963683474593,0.0,0.7525,0.0
coat_vs_shirt,within_tops,random,conv2,100,200,1,0.8305,0.0,0.8304989406183789,0.0,0.8305,0.0
coat_vs_shirt,within_tops,random,fc,5,10,1,0.686,0.0,0.6858866050644282,0.0,0.6859999999999999,0.0
coat_vs_shirt,within_tops,random,fc,10,20,1,0.6945,0.0,0.6937796932835262,0.0,0.6945,0.0
coat_vs_shirt,within_tops,random,fc,30,60,1,0.732,0.0,0.7314317094972963,0.0,0.732,0.0
coat_vs_shirt,within_tops,random,fc,100,200,1,0.7715,0.0,0.7713842632832871,0.0,0.7715000000000001,0.0
pullover_vs_coat,within_tops,coarse,conv1,5,10,1,0.544,0.0,0.5425654853620956,0.0,0.544,0.0
pullover_vs_coat,within_tops,coarse,conv1,10,20,1,0.6675,0.0,0.6666832907331188,0.0,0.6675,0.0
pullover_vs_coat,within_tops,coarse,conv1,30,60,1,0.7815,0.0,0.7813346343172023,0.0,0.7815000000000001,0.0
pullover_vs_coat,within_tops,coarse,conv1,100,200,1,0.823,0.0,0.822316986496091,0.0,0.823,0.0
pullover_vs_coat,within_tops,coarse,conv2,5,10,1,0.627,0.0,0.6243494094329589,0.0,0.627,0.0
pullover_vs_coat,within_tops,coarse,conv2,10,20,1,0.6585,0.0,0.6452160922292715,0.0,0.6585,0.0
pullover_vs_coat,within_tops,coarse,conv2,30,60,1,0.8065,0.0,0.8064744062402253,0.0,0.8065,0.0
pullover_vs_coat,within_tops,coarse,conv2,100,200,1,0.8215,0.0,0.821192048004676,0.0,0.8215,0.0
pullover_vs_coat,within_tops,coarse,fc,5,10,1,0.56,0.0,0.5535714285714286,0.0,0.56,0.0
pullover_vs_coat,within_tops,coarse,fc,10,20,1,0.662,0.0,0.6610115095618825,0.0,0.6619999999999999,0.0
pullover_vs_coat,within_tops,coarse,fc,30,60,1,0.7745,0.0,0.7744994926238584,0.0,0.7745,0.0
pullover_vs_coat,within_tops,coarse,fc,100,200,1,0.7985,0.0,0.7980819792174749,0.0,0.7985,0.0
pullover_vs_coat,within_tops,constant,constant,5,10,1,0.5,0.0,0.3333333333333333,0.0,0.5,0.0
pullover_vs_coat,within_tops,constant,constant,10,20,1,0.5,0.0,0.3333333333333333,0.0,0.5,0.0
pullover_vs_coat,within_tops,constant,constant,30,60,1,0.5,0.0,0.3333333333333333,0.0,0.5,0.0
pullover_vs_coat,within_tops,constant,constant,100,200,1,0.5,0.0,0.3333333333333333,0.0,0.5,0.0
pullover_vs_coat,within_tops,fine,conv1,5,10,1,0.5635,0.0,0.55973296518335,0.0,0.5635,0.0
pullover_vs_coat,within_tops,fine,conv1,10,20,1,0.692,0.0,0.6914813802001163,0.0,0.692,0.0
pullover_vs_coat,within_tops,fine,conv1,30,60,1,0.799,0.0,0.7989837176811322,0.0,0.799,0.0
pullover_vs_coat,within_tops,fine,conv1,100,200,1,0.841,0.0,0.8406015037593985,0.0,0.841,0.0
pullover_vs_coat,within_tops,fine,conv2,5,10,1,0.7125,0.0,0.7099094185853215,0.0,0.7125,0.0
pullover_vs_coat,within_tops,fine,conv2,10,20,1,0.741,0.0,0.7409562216014507,0.0,0.741,0.0
pullover_vs_coat,within_tops,fine,conv2,30,60,1,0.8075,0.0,0.807384382475581,0.0,0.8075,0.0
