seed,task,layer,examples_per_class,task_category,family,n_probe_train,comparison,test_accuracy,test_macro_f1,test_balanced_accuracy
42,pullover_vs_shirt,fc,5,within_tops,fine,10,fine_minus_random,0.14749999999999996,0.15030662413019202,0.14749999999999996
42,pullover_vs_shirt,conv1,10,within_tops,fine,20,fine_minus_random,0.008000000000000007,0.008070103874166512,0.008000000000000007
42,pullover_vs_shirt,conv2,10,within_tops,fine,20,fine_minus_random,0.09150000000000003,0.09167273862365655,0.09150000000000003
42,pullover_vs_shirt,fc,10,within_tops,fine,20,fine_minus_random,0.23850000000000005,0.23840996719193008,0.23849999999999993
42,pullover_vs_shirt,conv1,30,within_tops,fine,60,fine_minus_random,0.007000000000000006,0.00704241854503862,0.007000000000000006
42,pullover_vs_shirt,conv2,30,within_tops,fine,60,fine_minus_random,0.026499999999999968,0.02664561127968046,0.02650000000000008
42,pullover_vs_shirt,fc,30,within_tops,fine,60,fine_minus_random,0.15500000000000003,0.15499767600278114,0.15500000000000003
42,pullover_vs_shirt,conv1,100,within_tops,fine,200,fine_minus_random,0.010000000000000009,0.009982117319846773,0.010000000000000009
42,pullover_vs_shirt,conv2,100,within_tops,fine,200,fine_minus_random,0.033499999999999974,0.03356480702113318,0.033500000000000085
42,pullover_vs_shirt,fc,100,within_tops,fine,200,fine_minus_random,0.1615000000000001,0.16285902882473458,0.1615000000000001
42,coat_vs_shirt,conv1,5,within_tops,fine,10,fine_minus_random,-0.030000000000000027,-0.030558728660549095,-0.030000000000000027
42,coat_vs_shirt,conv2,5,within_tops,fine,10,fine_minus_random,-0.0025000000000000577,-0.0022643251293406053,-0.0024999999999999467
42,coat_vs_shirt,fc,5,within_tops,fine,10,fine_minus_random,0.1309999999999999,0.130690789252077,0.131
42,coat_vs_shirt,conv1,10,within_tops,fine,20,fine_minus_random,0.010000000000000009,0.010149327475952763,0.010000000000000009
42,coat_vs_shirt,conv2,10,within_tops,fine,20,fine_minus_random,0.03650000000000009,0.03655695300322814,0.03649999999999998
42,coat_vs_shirt,fc,10,within_tops,fine,20,fine_minus_random,0.1895,0.18998493007878248,0.1895
42,coat_vs_shirt,conv1,30,within_tops,fine,60,fine_minus_random,-0.0020000000000000018,-0.0020247356496974067,-0.0020000000000000018
