source_seed,repeat,sampling_seed,projection_seed,task,sample_size,layer,task_category,family,condition,original_feature_count,feature_count,comparison,test_accuracy,test_macro_f1,test_balanced_accuracy
42,2,43,4,tops_four_way,10,conv2,within_tops,coarse,coarse_conv2,1568,32,coarse_minus_random,0.036750000000000005,-0.003461491062680233,0.03674999999999995
42,2,43,4,tops_four_way,10,fc,within_tops,fine,fine_fc,128,32,fine_minus_random,0.15875,0.13034251842322542,0.15875000000000006
42,2,43,4,tops_four_way,10,fc,within_tops,coarse,coarse_fc,128,32,coarse_minus_random,0.03799999999999998,0.021041406929907636,0.038000000000000034
42,3,44,0,tops_four_way,10,conv1,within_tops,fine,fine_conv1,3136,32,fine_minus_random,0.0010000000000000009,-0.0007187683583634863,0.0010000000000000564
42,3,44,0,tops_four_way,10,conv1,within_tops,coarse,coarse_conv1,3136,32,coarse_minus_random,-0.028749999999999998,-0.029876056400223838,-0.028749999999999887
42,3,44,0,tops_four_way,10,conv2,within_tops,fine,fine_conv2,1568,32,fine_minus_random,-0.06974999999999998,-0.07060397538355018,-0.06974999999999998
42,3,44,0,tops_four_way,10,conv2,within_tops,coarse,coarse_conv2,1568,32,coarse_minus_random,-0.015749999999999986,-0.01719994653406781,-0.015750000000000042
42,3,44,0,tops_four_way,10,fc,within_tops,fine,fine_fc,128,32,fine_minus_random,0.14425000000000004,0.14915539392666327,0.1442500000000001
42,3,44,0,tops_four_way,10,fc,within_tops,coarse,coarse_fc,128,32,coarse_minus_random,0.007500000000000007,0.015099443918278943,0.007500000000000062
42,3,44,1,tops_four_way,10,conv1,within_tops,fine,fine_conv1,3136,32,fine_minus_random,-0.03275,-0.031679093290879645,-0.03275
42,3,44,1,tops_four_way,10,conv1,within_tops,coarse,coarse_conv1,3136,32,coarse_minus_random,-0.11225000000000002,-0.122853387080609,-0.11225000000000002
42,3,44,1,tops_four_way,10,conv2,within_tops,fine,fine_conv2,1568,32,fine_minus_random,0.04275000000000001,0.03893427679400535,0.042750000000000066
42,3,44,1,tops_four_way,10,conv2,within_tops,coarse,coarse_conv2,1568,32,coarse_minus_random,-0.014749999999999985,-0.009869631972447501,-0.014749999999999985
42,3,44,1,tops_four_way,10,fc,within_tops,fine,fine_fc,128,32,fine_minus_random,0.17749999999999994,0.1824853255381389,0.1775
42,3,44,1,tops_four_way,10,fc,within_tops,coarse,coarse_fc,128,32,coarse_minus_random,-0.004500000000000004,0.00952452568886275,-0.004500000000000004
42,3,44,2,tops_four_way,10,conv1,within_tops,fine,fine_conv1,3136,32,fine_minus_random,-0.030999999999999972,-0.03471473282038906,-0.031000000000000028
42,3,44,2,tops_four_way,10,conv1,within_tops,coarse,coarse_conv1,3136,32,coarse_minus_random,-0.034999999999999976,-0.042890478228469475,-0.03499999999999992
42,3,44,2,tops_four_way,10,conv2,within_tops,fine,fine_conv2,1568,32,fine_minus_random,-0.022249999999999992,-0.017250040976146463,-0.022249999999999992
42,3,44,2,tops_four_way,10,conv2,within_tops,coarse,coarse_conv2,1568,32,coarse_minus_random,-0.030999999999999972,-0.0272321334294634,-0.031000000000000028
42,3,44,2,tops_four_way,10,fc,within_tops,fine,fine_fc,128,32,fine_minus_random,0.1755,0.17815939677430875,0.1755
42,3,44,2,tops_four_way,10,fc,within_tops,coarse,coarse_fc,128,32,coarse_minus_random,-0.038000000000000034,-0.030898319516307948,-0.03799999999999998
42,3,44,3,tops_four_way,10,conv1,within_tops,fine,fine_conv1,3136,32,fine_minus_random,0.005749999999999977,0.010701973732039183,0.005749999999999977
42,3,44,3,tops_four_way,10,conv1,within_tops,coarse,coarse_conv1,3136,32,coarse_minus_random,-0.04350000000000004,-0.038251801779673356,-0.04350000000000004
42,3,44,3,tops_four_way,10,conv2,within_tops,fine,fine_conv2,1568,32,fine_minus_random,0.005750000000000033,0.00473488434133118,0.005749999999999922
