task,task_category,condition,family,layer,sample_size,original_feature_count,feature_count,source_seed,n_sampling_repeats,n_projection_seeds,n_runs,test_accuracy_mean,test_accuracy_std,test_macro_f1_mean,test_macro_f1_std,test_balanced_accuracy_mean,test_balanced_accuracy_std,selected_c_mode
coat_vs_non_tops,cross_pooled,fine_conv2,fine,conv2,80,1568,32,42,10,5,50,0.9097828571428572,0.014485576850544978,0.8466833840473436,0.018851699048145803,0.9192983333333333,0.008844302168006368,0.1
coat_vs_non_tops,cross_pooled,fine_conv2,fine,conv2,110,1568,32,42,10,5,50,0.9167257142857143,0.012138443375498152,0.8563874814922761,0.0163580985409639,0.9243816666666667,0.007301959984450222,0.1
coat_vs_non_tops,cross_pooled,fine_conv2,fine,conv2,150,1568,32,42,10,5,50,0.9191057142857143,0.009017120557049136,0.8600788787151042,0.012228417029144928,0.9281533333333333,0.006359558128662442,0.1
coat_vs_non_tops,cross_pooled,fine_conv2,fine,conv2,200,1568,32,42,10,5,50,0.9192914285714286,0.007993539665557412,0.860762469644519,0.011057336013302116,0.9305283333333334,0.006267167126130272,0.1
coat_vs_non_tops,cross_pooled,coarse_conv2,coarse,conv2,10,1568,32,42,10,5,50,0.8451914285714285,0.0680996440839807,0.772525075130282,0.06869412509112642,0.8797366666666667,0.037961634619018275,0.01
coat_vs_non_tops,cross_pooled,coarse_conv2,coarse,conv2,20,1568,32,42,10,5,50,0.8852800000000002,0.03291486829335409,0.8173071872706258,0.040156722452562445,0.9085633333333334,0.019389882989803642,0.01
coat_vs_non_tops,cross_pooled,coarse_conv2,coarse,conv2,30,1568,32,42,10,5,50,0.89676,0.02802427162449184,0.8312945454399582,0.03516017856482882,0.9148016666666667,0.01686392527330403,0.01
coat_vs_non_tops,cross_pooled,coarse_conv2,coarse,conv2,50,1568,32,42,10,5,50,0.9135771428571428,0.02434337110559409,0.8534952549674775,0.031723476862560385,0.9239783333333331,0.013936005443900574,0.1
coat_vs_non_tops,cross_pooled,coarse_conv2,coarse,conv2,80,1568,32,42,10,5,50,0.9211085714285716,0.016814779996252274,0.8632020030160479,0.023515204334558695,0.9278383333333332,0.01133119990423967,0.1
coat_vs_non_tops,cross_pooled,coarse_conv2,coarse,conv2,110,1568,32,42,10,5,50,0.9250771428571428,0.014061867524765275,0.8688669915188219,0.020275632472273056,0.9310616666666667,0.010448581178296681,0.1
coat_vs_non_tops,cross_pooled,coarse_conv2,coarse,conv2,150,1568,32,42,10,5,50,0.9279285714285713,0.012485301645715513,0.8732685680047902,0.018550355992062312,0.9344333333333334,0.009779165923932381,0.1
coat_vs_non_tops,cross_pooled,coarse_conv2,coarse,conv2,200,1568,32,42,10,5,50,0.9292800000000001,0.01086829870317219,0.8752956185305883,0.016274903290350303,0.9360799999999999,0.009550987412001841,0.1
coat_vs_non_tops,cross_pooled,random_fc,random,fc,10,128,32,42,10,5,50,0.7889057142857143,0.07214195715744956,0.7119075245075828,0.06489517591740332,0.8414366666666666,0.035139201481047114,0.01
coat_vs_non_tops,cross_pooled,random_fc,random,fc,20,128,32,42,10,5,50,0.8509857142857142,0.03567312205033354,0.774562494009716,0.03920795014131419,0.8809083333333332,0.02139280911301814,1.0
