task,task_category,comparison,family,layer,sample_size,original_feature_count,feature_count,source_seed,n_sampling_repeats,n_projection_seeds,n_pairs,test_accuracy_mean,test_accuracy_std,test_macro_f1_mean,test_macro_f1_std,test_balanced_accuracy_mean,test_balanced_accuracy_std
coat_vs_non_tops,cross_pooled,fine_minus_random,fine,conv1,150,3136,32,42,10,5,50,-0.004180000000000004,0.010667197204979039,-0.006127764825226423,0.015229523092863304,-0.0040383333333333105,0.008261393733337799
coat_vs_non_tops,cross_pooled,fine_minus_random,fine,conv1,200,3136,32,42,10,5,50,-0.004059999999999988,0.008017114658460184,-0.006081491025153172,0.011484393837918248,-0.0039766666666666665,0.006664030941556519
coat_vs_non_tops,cross_pooled,fine_minus_random,fine,conv2,10,1568,32,42,10,5,50,0.06316000000000001,0.08006767046314274,0.06302416690584638,0.0767509527244184,0.04196833333333333,0.048553205877886245
coat_vs_non_tops,cross_pooled,fine_minus_random,fine,conv2,20,1568,32,42,10,5,50,0.022314285714285714,0.03562110292735098,0.02631249454403666,0.040025211700237255,0.015016666666666652,0.024060787295115058
coat_vs_non_tops,cross_pooled,fine_minus_random,fine,conv2,30,1568,32,42,10,5,50,0.02118000000000001,0.03026804878376168,0.025144013283447942,0.035963892643297884,0.012555,0.023308682374520467
coat_vs_non_tops,cross_pooled,fine_minus_random,fine,conv2,50,1568,32,42,10,5,50,0.017085714285714294,0.027978289316055307,0.020037134773914334,0.03502735670469185,0.007783333333333347,0.020015994171555338
coat_vs_non_tops,cross_pooled,fine_minus_random,fine,conv2,80,1568,32,42,10,5,50,0.006357142857142855,0.021095551246230585,0.008005092815056862,0.028550808286321453,0.002624999999999997,0.015737755291336076
coat_vs_non_tops,cross_pooled,fine_minus_random,fine,conv2,110,1568,32,42,10,5,50,0.0027257142857142844,0.01815523417952207,0.003426584123729337,0.025496174569026968,0.0009566666666666746,0.013667229123982579
coat_vs_non_tops,cross_pooled,fine_minus_random,fine,conv2,150,1568,32,42,10,5,50,0.001922857142857155,0.015578988455591669,0.0025427601971515943,0.0219554850187183,0.0015133333333333355,0.012022623232379652
coat_vs_non_tops,cross_pooled,fine_minus_random,fine,conv2,200,1568,32,42,10,5,50,5.4285714285711165e-05,0.013896412452514351,0.00014798789618331476,0.019646613250988206,0.0014316666666666534,0.010551188394233722
coat_vs_non_tops,cross_pooled,fine_minus_random,fine,fc,10,128,32,42,10,5,50,0.1373085714285714,0.07960392561254719,0.16797842554119902,0.08294686081759195,0.10093,0.04357692640307746
coat_vs_non_tops,cross_pooled,fine_minus_random,fine,fc,20,128,32,42,10,5,50,0.10466857142857142,0.03938124552320262,0.14503999955068098,0.04947656650594229,0.07891499999999999,0.023390227587576824
coat_vs_non_tops,cross_pooled,fine_minus_random,fine,fc,30,128,32,42,10,5,50,0.0949,0.03167048757792613,0.13468028064443072,0.03740325935788037,0.07160833333333333,0.018715029747114316
coat_vs_non_tops,cross_pooled,fine_minus_random,fine,fc,50,128,32,42,10,5,50,0.07866285714285715,0.028472258797519086,0.11623162177496557,0.03448635863775592,0.062270000000000006,0.016530554407670154
coat_vs_non_tops,cross_pooled,fine_minus_random,fine,fc,80,128,32,42,10,5,50,0.06620000000000001,0.021858695804127762,0.10351026850575806,0.02920794803797202,0.05424166666666666,0.013039907457798025
coat_vs_non_tops,cross_pooled,fine_minus_random,fine,fc,110,128,32,42,10,5,50,0.06243428571428572,0.020498797924955982,0.0992659834025122,0.02746007822007453,0.051378333333333324,0.010453753164075548
coat_vs_non_tops,cross_pooled,fine_minus_random,fine,fc,150,128,32,42,10,5,50,0.059237142857142856,0.019190459286152952,0.09501327094685479,0.026249145264328474,0.04859666666666666,0.009075901284554848
coat_vs_non_tops,cross_pooled,fine_minus_random,fine,fc,200,128,32,42,10,5,50,0.055,0.01628369380336402,0.0888154312182534,0.022149040111808814,0.046625000000000014,0.008448091634657706
